Timestamp,BMS_Voltage_V,BMS_Current_A,BMS_Temperature_C,State_of_Charge_%,Inverter_Efficiency_%,Inverter_Temperature_C,Charger_Input_Power_kW,Charger_Efficiency_%,LV_Battery_Voltage_V,LV_Battery_Current_A,Coolant_Flow_Rate_L_min,Coolant_Temperature_C,Vehicle_Speed_kmph,Acceleration_m_s2,Braking_Force_N,Road_Gradient_%,Energy_Consumption_kWh_per_km,Torque_Requested_Nm,Torque_Delivered_Nm,Condition
2025-07-24 06:00:00,377.69,-44.98,34.6,98.7,93.76,32.1,9.25,89.8,12.16,-10.68,17.0,55.2,61.2,0.77,4028.1,-6.38,0.285,372.5,254.3,Normal
2025-07-24 06:05:00,397.48,-37.7,20.1,98.6,85.06,75.9,48.01,93.57,13.83,8.3,20.4,31.0,6.5,0.21,2856.3,3.08,0.292,165.9,125.1,Normal
2025-07-24 06:10:00,349.94,47.68,27.3,96.5,92.44,60.3,49.71,87.7,14.2,-10.36,21.8,51.4,93.7,1.32,4417.9,0.34,0.38,259.7,263.2,Normal
2025-07-24 06:15:00,360.7,-52.22,43.6,95.9,91.48,54.3,37.57,90.89,12.96,-3.14,24.6,34.9,7.5,0.95,887.5,-6.27,0.143,57.3,99.4,Normal
2025-07-24 06:20:00,344.18,92.1,32.6,100.0,94.07,34.3,5.94,90.95,12.12,11.07,12.3,41.1,66.7,0.58,432.8,-5.75,0.399,171.3,271.4,Normal
2025-07-24 06:25:00,336.54,67.69,43.5,97.7,85.65,73.6,33.9,94.66,14.19,-16.5,24.2,43.3,51.1,1.53,2901.7,-4.2,0.166,26.6,103.1,Normal
2025-07-24 06:30:00,335.08,19.51,35.4,97.7,96.19,58.3,30.36,89.65,12.49,-7.54,13.4,51.7,44.8,1.99,4270.3,9.6,0.175,254.3,166.2,Normal
2025-07-24 06:35:00,387.74,-71.09,43.3,96.3,95.72,72.4,49.12,94.6,12.47,6.58,11.2,56.3,45.9,0.13,1757.8,-0.72,0.151,159.2,228.4,Normal
2025-07-24 06:40:00,346.79,26.91,37.2,93.8,91.38,53.4,1.76,93.98,14.3,14.49,27.2,42.6,100.4,-0.81,4698.6,-9.03,0.255,265.8,308.8,Normal
2025-07-24 06:45:00,321.4,-19.65,21.5,96.2,93.37,64.5,9.48,94.07,13.42,10.7,21.9,45.6,82.0,-2.76,237.9,-5.45,0.371,138.7,34.3,Normal
2025-07-24 06:50:00,398.44,-81.7,34.1,96.2,90.61,45.9,2.4,91.34,12.74,-4.41,28.8,52.2,75.0,1.87,2092.6,-1.03,0.185,269.3,393.6,Normal
2025-07-24 06:55:00,377.5,-60.48,31.7,92.3,93.99,44.9,4.76,88.61,13.18,13.94,19.8,38.7,118.4,-1.54,369.1,2.01,0.312,208.8,181.8,Normal
2025-07-24 07:00:00,353.71,42.1,45.2,94.6,87.0,60.2,30.74,85.93,13.66,12.14,27.1,55.8,19.7,1.5,4285.3,-4.96,0.232,217.6,203.8,Normal
2025-07-24 07:05:00,373.56,40.86,26.4,93.9,87.74,38.0,40.58,86.71,13.7,6.36,28.9,46.9,14.5,2.56,3574.6,-9.02,0.177,285.2,180.8,Normal
2025-07-24 07:10:00,396.31,8.74,42.9,91.8,91.14,68.7,42.96,85.36,12.7,1.6,11.5,40.2,36.7,-2.59,2888.9,3.99,0.285,382.3,201.1,Normal
2025-07-24 07:15:00,368.23,31.21,21.6,93.4,88.61,71.0,15.03,86.11,12.2,-16.28,23.9,35.4,25.5,1.38,2284.1,-3.67,0.205,24.5,33.1,Normal
2025-07-24 07:20:00,335.4,-22.5,24.9,88.2,90.64,36.9,46.93,85.81,13.12,-15.48,24.5,58.1,11.6,1.91,1847.1,5.66,0.319,83.0,64.0,Normal
2025-07-24 07:25:00,319.61,58.6,32.6,96.3,88.65,75.0,11.0,92.83,13.19,2.87,23.7,52.4,95.5,-2.31,1625.0,9.44,0.339,219.4,161.3,Normal
2025-07-24 07:30:00,359.53,-43.86,46.6,88.3,90.46,30.5,23.09,91.72,12.93,3.08,11.7,32.4,4.8,1.09,1553.3,3.15,0.327,27.9,159.1,Normal
2025-07-24 07:35:00,358.42,-84.12,27.5,92.9,88.52,61.6,27.62,85.09,13.29,4.62,26.0,39.2,91.4,2.23,726.5,-2.73,0.26,238.6,229.3,Normal
2025-07-24 07:40:00,399.42,31.64,27.5,86.5,88.19,59.1,32.56,92.96,13.16,14.48,12.3,48.9,113.9,1.13,3026.3,-0.73,0.385,289.2,286.6,Normal
2025-07-24 07:45:00,375.54,94.74,45.8,89.3,96.89,56.2,47.55,90.25,12.82,11.6,28.6,52.1,89.7,0.35,4317.5,-8.71,0.344,167.5,160.3,Normal
2025-07-24 07:50:00,317.49,74.81,33.6,91.5,86.02,75.8,15.56,86.41,13.05,17.68,16.0,45.0,78.6,2.8,4292.3,9.64,0.295,16.4,370.7,Normal
2025-07-24 07:55:00,335.68,85.16,43.5,90.1,87.11,30.9,16.14,85.43,13.69,3.89,26.7,56.6,61.4,0.78,4411.0,-2.2,0.326,362.0,150.0,Normal
2025-07-24 08:00:00,334.98,63.09,46.7,89.6,95.5,59.8,16.28,85.29,13.74,2.53,19.7,58.2,68.5,-1.14,2094.3,-5.09,0.344,13.3,203.4,Normal
